name,year,month,uri,rank,listUri,finalWorth,category,otherCompensation,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,naturalId,position,imageExists,selfMade,status,gender,birthDate,lastName,firstName,listDescription,date,wealthList,familyList,squareImage,bioSuppress,suppressOnProfiles,premiumProfile,philanthropyScore,netWorth
Billionaires,2022,4,elon-musk,1,billionaires,219000,Automotive,0,True,Elon Musk,50,United States,Texas,Austin,"Tesla, SpaceX",Automotive,United States,1664284092360,1,faris/5/2022/14117,1,True,True,U,M,46915200000.0,Musk,Elon,The World's Billionaires,1649134860000,False,False,https://specials-images.forbesimg.com/imageserve/62d700cd6094d2c180f269b9/416x416.jpg?background=000000&cropX1=0&cropX2=959&cropY1=0&cropY2=959,False,False,False,1,$219 B
Billionaires,2022,4,jeff-bezos,2,billionaires,171000,Technology,0,True,Jeff Bezos,58,United States,Washington,Seattle,Amazon,Technology,United States,1664284094526,1,faris/5/2022/6713,2,True,True,D,M,-188438400000.0,Bezos,Jeff,The World's Billionaires,1649134860000,False,False,https://specials-images.forbesimg.com/imageserve/5bb22ae84bbe6f67d2e82e05/416x416.jpg?background=000000&cropX1=627&cropX2=1639&cropY1=129&cropY2=1142,False,False,False,1,$171 B
Billionaires,2022,4,bernard-arnault,3,billionaires,158000,Fashion & Retail,0,True,Bernard Arnault & family,73,France,Not Specified,Paris,LVMH,Fashion & Retail,France,1649136422879,1,faris/5/2022/4800,3,True,False,U,M,-657244800000.0,Arnault,Bernard,The World's Billionaires,1649116800000,False,False,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,False,False,N/A,$158 B
Billionaires,2022,4,bill-gates,4,billionaires,129000,Technology,0,True,Bill Gates,66,United States,Washington,Medina,Microsoft,Technology,United States,1664284096498,1,faris/5/2022/5772,4,True,True,U,M,-447465600000.0,Gates,Bill,The World's Billionaires,1649134860000,False,False,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,False,False,4,$129 B
Billionaires,2022,4,warren-buffett,5,billionaires,118000,Finance & Investments,0,True,Warren Buffett,91,United States,Nebraska,Omaha,Berkshire Hathaway,Finance & Investments,United States,1664284100407,1,faris/5/2022/5381,5,True,True,U,M,-1241481600000.0,Buffett,Warren,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,False,False,5,$118 B
Billionaires,2022,4,larry-page,6,billionaires,111000,Technology,0,True,Larry Page,49,United States,California,Palo Alto,Google,Technology,United States,1664284102665,1,faris/5/2022/7441,6,True,True,U,M,101952000000.0,Page,Larry,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/416x416.jpg?background=000000&cropX1=227&cropX2=2022&cropY1=22&cropY2=1817,False,False,False,1,$111 B
Billionaires,2022,4,sergey-brin,7,billionaires,107000,Technology,0,True,Sergey Brin,48,United States,California,Los Altos,Google,Technology,United States,1664284104589,1,faris/5/2022/7442,7,True,True,U,M,114739200000.0,Brin,Sergey,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5c7d7c254bbe6f78090d831f/416x416.jpg?background=000000&cropX1=475&cropX2=2887&cropY1=168&cropY2=2582,False,False,False,1,$107 B
Billionaires,2022,4,larry-ellison,8,billionaires,106000,Technology,0,True,Larry Ellison,77,United States,Hawaii,Lanai,software,Technology,United States,1664284098622,1,faris/5/2022/5574,8,True,True,U,M,-800755200000.0,Ellison,Larry,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,False,False,1,$106 B
Billionaires,2022,4,steve-ballmer,9,billionaires,91400,Technology,0,True,Steve Ballmer,66,United States,Washington,Hunts Point,Microsoft,Technology,United States,1664284106367,1,faris/5/2022/5671,9,True,True,U,M,-434678400000.0,Ballmer,Steve,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=553&cropX2=2940&cropY1=322&cropY2=2708,False,False,False,2,$91.4 B
Billionaires,2022,4,mukesh-ambani,10,billionaires,90700,Diversified,0,True,Mukesh Ambani,64,India,Not Specified,Mumbai,diversified,Diversified,India,1665526201374,1,faris/5/2022/7409,10,True,False,U,M,-400896000000.0,Ambani,Mukesh,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089,False,False,False,N/A,$90.7 B
Billionaires,2022,4,gautam-adani-1,11,billionaires,90000,Diversified,0,True,Gautam Adani,59,India,Not Specified,Ahmedabad,"infrastructure, commodities",Diversified,India,1665627194776,1,faris/5/2022/199925,11,False,True,U,M,-237427200000.0,Adani,Gautam,The World's Billionaires,1649134860000,False,False,https://specials-images.forbesimg.com/imageserve/6345ac3b833e07cd89aa314c/416x416.jpg?background=000000&cropX1=473&cropX2=2286&cropY1=95&cropY2=1910,False,False,False,N/A,$90 B
Billionaires,2022,4,michael-bloomberg,12,billionaires,82000,Media & Entertainment,0,True,Michael Bloomberg,80,United States,New York,New York,Bloomberg LP,Media & Entertainment,United States,1664284108130,1,faris/5/2022/5640,12,True,True,U,M,-879811200000.0,Bloomberg,Michael,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769,False,False,False,4,$82 B
Billionaires,2022,4,carlos-slim-helu,13,billionaires,81200,Telecom,0,True,Carlos Slim Helu & family,82,Mexico,Not Specified,Mexico City,telecom,Telecom,Mexico,1649102174215,1,faris/5/2022/4466,13,True,True,U,M,-944438400000.0,Slim Helu,Carlos,The World's Billionaires,1649116800000,False,False,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,False,False,N/A,$81.2 B
Billionaires,2022,4,francoise-bettencourt-meyers,14,billionaires,74800,Fashion & Retail,0,True,Francoise Bettencourt Meyers & family,68,France,Not Specified,Paris,L'Oréal,Fashion & Retail,France,1649102175832,1,faris/5/2022/203905,14,False,False,U,F,-520041600000.0,Bettencourt Meyers,Francoise,The World's Billionaires,1649116800000,False,False,https://specials-images.forbesimg.com/imageserve/605e26e3c65f7c2596bd3e15/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,False,False,False,N/A,$74.8 B
Billionaires,2022,4,mark-zuckerberg,15,billionaires,67300,Technology,0,True,Mark Zuckerberg,37,United States,California,Palo Alto,Facebook,Technology,United States,1664284111670,1,faris/5/2022/8047,15,True,True,D,M,453340800000.0,Zuckerberg,Mark,The World's Billionaires,1649134860000,False,False,//specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,False,False,False,2,$67.3 B
